"id","tool_name","bleu_score","cosine_similarity","lsa_score"
325,"Marefa","0.20140652624693794","0.4716287048069235","0.32241801745675985"
326,"MarianMT","0.336702413042559","0.6050096991370439","0.43220082020622713"
378,"Marefa","0.07921460720609476","0.35625415404850524","0.21182155345326456"
327,"Fine-tuned MarianMT","0.27209347299629694","0.4971938609108213","0.3362425914977764"
358,"Marefa","0.2876196448894451","0.5039838892183974","0.35670298888497326"
328,"Google Translate","0.37139076186554665","0.5901760036499694","0.44422735196793117"
392,"Fine-tuned MarianMT","0.16950739251292593","0.5270514738697492","0.34953468393043835"
329,"Marefa","0.2732307930829763","0.3300331752010107","0.24872952901724624"
359,"MarianMT","0.07772569712669956","0.3307415449255974","0.20243348006191317"
330,"MarianMT","0.3913381951342136","0.6689609050245711","0.5032855073794079"
379,"MarianMT","0.14914279339461373","0.43479863625159465","0.2985993472890058"
331,"Fine-tuned MarianMT","0.37394337537443606","0.6519770033956349","0.4885711112522852"
360,"Fine-tuned MarianMT","0.06361089885317889","0.3323151317149051","0.20228196149804342"
332,"Google Translate","0.381956572612658","0.692641055725258","0.5333822326276529"
333,"Marefa","0.2957189372185796","0.5721621388734568","0.42453080527634435"
413,"Marefa","0.31388092656263017","0.5942239305231591","0.4084446208369245"
361,"Google Translate","0.10638866124562252","0.37495959434096215","0.23352379197265757"
334,"MarianMT","0.1711389700153424","0.39323397156420087","0.2479724826566769"
380,"Fine-tuned MarianMT","0.15305798858534014","0.43997452133424897","0.30518120674272864"
336,"Fine-tuned MarianMT","0.07668916523765953","0.24569385737740032","0.13408467911384422"
362,"Marefa","0.07158510291709323","0.3461240438212573","0.20752026015878486"
337,"Google Translate","0.1713005283552713","0.36167959137701045","0.23867141790088486"
393,"Google Translate","0.17035220490248587","0.5264365858550328","0.3489700322931581"
338,"Marefa","0.09573876042147372","0.2541785635597313","0.15011315052774338"
363,"MarianMT","0.2621939034298823","0.5380535532256592","0.35936752655769005"
339,"MarianMT","0.3111596938702469","0.5137026810162817","0.378287614763123"
381,"Google Translate","0.15958446798159817","0.41879562995548153","0.3037233650983142"
340,"Fine-tuned MarianMT","0.27672135512930063","0.4817957390601232","0.3513128122373878"
364,"Fine-tuned MarianMT","0.23734956024867995","0.5039688954912206","0.34044167857084534"
341,"Google Translate","0.3484825253907093","0.6203840816902945","0.47125621815827545"
402,"Marefa","0.23581810493944458","0.41935667171856467","0.28324070840906374"
342,"Marefa","0.2712743457596201","0.4947122432239756","0.35633045884535886"
365,"Google Translate","0.2932435019131858","0.505838155045167","0.36003359977375454"
343,"MarianMT","0.47783547267614196","0.6223084065047142","0.4953772809681991"
382,"Marefa","0.11427993750750132","0.4084802009680395","0.2802164365523536"
344,"Fine-tuned MarianMT","0.4462600833415229","0.543928211200864","0.4161123600956188"
366,"Marefa","0.22884417416385286","0.3895138281641313","0.27760523208719606"
